4;s;47302
4;s;49980
4;s;95051
4;s;72739
4;s;55334
4;s;50872
4;s;46856
4;s;55781
4;s;51319
4;s;82110
4;s;47748
4;s;52211
4;s;81663
4;s;68723
4;s;45963
4;s;85233
4;s;70508
4;s;80324
4;s;49534
4;s;145476
4;s;74909
4;s;74934
4;s;73569
4;s;76396
4;s;71799
4;s;73184
4;s;72567
4;s;71152
4;s;73210
4;s;70119
4;s;72070
4;s;73696
4;s;73454
4;s;73312
4;s;73116
4;s;72417
4;s;72672
4;s;73413
4;s;76818
4;s;70772
4;s;70461
4;s;74682
4;s;73725
4;s;71921
4;s;70775
4;s;75018
4;s;77909
4;s;74241
4;s;75432
4;s;73220
4;s;70612
4;s;71677
4;s;71459
4;s;70953
4;s;71876
4;s;72668
4;s;74221
4;s;72005
4;s;72345
4;s;71693
4;s;72081
4;s;72601
4;s;76373
4;s;77187
4;s;73366
4;s;80359
4;s;73720
4;s;74605
4;s;74507
4;s;73130
4;s;72498
4;s;76714
4;s;76317
4;s;79135
4;s;73183
4;s;74194
4;s;103350
4;s;71859
4;s;65924
4;s;73579
